full_name,field,truncated_field,band,chip,coadd_path,ecsv_path,discoverydate,EXPTIMEE,DITHTYP,DITHRAD,DITH_REP,NINT,ROTOFF,RA,DEC,psfS_CM,aperS_CM,autoS_CM,Radius,SNR,Elongation,Distance,Separation,Survey_Crsmtch,Survey Crsmtch,aperMag,autoMag,aperMag_Err,psfMag_Err,autoME_CM,apMag,psfMag,Mag_Err_Crsmtch,Mag_Err,apMag2,psfME_CM,Mag,apMag_Err,aperME_CM,apMag2_Err,autoMag_Err,field_date,days_since_discovery,role,objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified,status
AT2025alvq,field12465-2025-04-14,field12465,J,C2,/mnt/photometry/AT2025alvq/field12465-2025-04-14/J/stack/coadd.Open-J.02303839-02303875.C2.fits,/mnt/photometry/AT2025alvq/field12465-2025-04-14/J/stack/GRB_J_C2_Data_VHS_02303875.ecsv,2025-04-07,8.58,Circle,60.0,1,10,48.0,200.08456,-12.57169,1.0,2.0,2.0,5.52,270.69,2.16,0.57417,0.38919,,,15.469,12.808,0.011,0.076,2.922,,15.811,,,,-0.081,,,0.261,,0.007,2025-04-14,7,sci,202935,AT,2025alvq,200.0846971,-12.571593,,,,48,ZTF,48.0,ZTF,18.433,111.0,r,"Nabeel Rehemtulla (CIERA, NU), Wynn Jacobson-Galán (Caltech), Theophile du Laz (Caltech) on behalf of ZTF",3/11/26 8:51,ZTF25aaluqfx,2026TNSTR1022....1R,,3/11/26 8:51,3/11/26 8:51,
AT2025kln,field14919-2025-05-24,field14919,J,C1,/mnt/photometry/AT2025kln/field14919-2025-05-24/J/stack/coadd.Open-J.02474811-02474847.C1.fits,/mnt/photometry/AT2025kln/field14919-2025-05-24/J/stack/GRB_J_C1_Data_VHS_02474847.ecsv,2025-05-15,8.58,Circle,60.0,1,10,48.0,143.57427,-3.23173,3.0,3.0,3.0,0.7,5.33,1.689,0.26046,-1.0,,,20.188,20.118,0.28,0.185,99.0,,20.036,,,,99.0,,,99.0,,0.277,2025-05-24,9,sci,179439,AT,2025kln,143.5742245,-3.231788281,,,,74,ALeRCE,48.0,ZTF,19.8107,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, S. Jurado, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, F. Andrades, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",5/15/25 16:05,"ZTF25aaqebif, PS25mxr",2025TNSTR1789....1M,,5/15/25 16:05,2/2/26 23:17,
SN2025wzh,field9950-2025-09-12,field9950,J,C4,/mnt/photometry/SN2025wzh/field9950-2025-09-12/J/stack/coadd.Open-J.02977154-02977190.C4.fits,/mnt/photometry/SN2025wzh/field9950-2025-09-12/J/stack/GRB_J_C4_Data_VHS_02977190.ecsv,2025-09-06,8.58,Circle,60.0,1,10,48.0,77.69765,-22.50698,3.0,0.0,0.0,0.94,13.95,1.133,0.31777,-1.0,,,19.057,18.807,0.09,317.823,99.0,,30.477,,,,99.0,,,99.0,,0.136,2025-09-12,6,sci,188149,SN,2025wzh,77.69772983,-22.50702562,0.04,11.0,SN IIP,59,GOTO,59.0,GOTO,19.13,120.0,L,"D. O'Neill, G. Ramsay, K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, A. Kumar, M. Pursiainen, on behalf of GOTO collaboration",9/6/25 6:21,"GOTO25gwd, ATLAS25lhk, ZTF25abuopnq, T202510070510475m223025, PS25mlv",2025TNSTR3585....1O,2025TNSCR4046....1O,9/6/25 6:21,1/1/26 23:15,
AT2025acto,field20456-2025-11-25,field20456,J,C3,/mnt/photometry/AT2025acto/field20456-2025-11-25/J/stack/coadd.Open-J.03232183-03232219.C3.fits,/mnt/photometry/AT2025acto/field20456-2025-11-25/J/stack/GRB_J_C3_Data_UHS_03232219.ecsv,2025-11-07,8.58,Circle,60.0,1,10,48.0,41.79127,16.51385,2.0,2.0,2.0,4.22,32.58,2.223,0.37123,1.90119,,,18.746,16.649,0.123,0.093,3.445,,18.483,,,,1.612,,,1.349,,0.079,2025-11-25,18,sci,192191,AT,2025acto,41.79134848,16.51392264,,,,59,GOTO,59.0,GOTO,19.27,120.0,L,"G. Ramsay, A. Kumar, K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, D. O'Neill, M. Pursiainen, on behalf of GOTO collaboration",11/8/25 18:38,"GOTO25jqg, ATLAS25oba, ZTF25acedcrr, PS25kxg",2025TNSTR4475....1R,,11/8/25 18:38,12/30/25 21:44,
AT2025umy,field14163-2025-08-19,field14163,J,C1,/mnt/photometry/AT2025umy/field14163-2025-08-19/J/stack/coadd.Open-J.02871999-02872035.C1.fits,/mnt/photometry/AT2025umy/field14163-2025-08-19/J/stack/GRB_J_C1_Data_VHS_02872035.ecsv,2025-08-16,8.58,Circle,60.0,1,10,48.0,0.00383,-5.58348,1.0,2.0,2.0,1.25,16.03,1.675,1.35157,0.1061,,,19.023,18.388,0.08,0.095,0.964,,19.376,,,,-0.024,,,0.329,,0.102,2025-08-19,3,sci,186423,AT,2025umy,0.003493648,-5.583653884,,,,74,ALeRCE,48.0,ZTF,20.1838,111.0,r,"S. Jurado, G. Pignata, F.E. Bauer, F. Forster, A. Munoz-Arancibia, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, E. Pizarro, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",8/19/25 1:34,"ZTF25abjlixu, PS25kgk",2025TNSTR3275....1J,,8/19/25 1:34,12/29/25 21:39,
AT2025wdt,field10476-2025-09-02,field10476,J,C2,/mnt/photometry/AT2025wdt/field10476-2025-09-02/J/stack/coadd.Open-J.02937021-02937057.C2.fits,/mnt/photometry/AT2025wdt/field10476-2025-09-02/J/stack/GRB_J_C2_Data_VHS_02937057.ecsv,2025-08-29,8.58,Circle,60.0,1,10,48.0,359.42763,-20.56337,2.0,2.0,2.0,2.15,27.38,1.382,1.14361,0.17286,,,18.335,17.346,0.06,0.114,1.505,,18.39,,,,0.462,,,0.516,,0.063,2025-09-02,4,sci,187543,AT,2025wdt,359.4278513,-20.56361126,,,,18,ATLAS,18.0,ATLAS,20.02,73.0,wide,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",8/29/25 9:37,"ATLAS25ksi, ZTF25abmvpwg, PS25jxl",2025TNSTR3431....1T,,8/29/25 9:37,12/29/25 15:40,
AT2025vyp,field4221-2025-09-07,field4221,J,C1,/mnt/photometry/AT2025vyp/field4221-2025-09-07/J/stack/coadd.Open-J.02957297-02957333.C1.fits,/mnt/photometry/AT2025vyp/field4221-2025-09-07/J/stack/GRB_J_C1_Data_VHS_02957333.ecsv,2025-08-24,8.58,Circle,60.0,1,10,48.0,12.88524,-46.70154,2.0,2.0,2.0,2.66,41.8,1.348,1.48772,0.06442,,,17.925,16.63,0.041,0.039,1.517,,17.823,,,,0.324,,,0.222,,0.035,2025-09-07,14,sci,187404,AT,2025vyp,12.885333,-46.701128,,,,18,ATLAS,18.0,ATLAS,19.484,72.0,orange,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",8/28/25 9:47,"ATLAS25kov, ",2025TNSTR3409....1T,,8/28/25 9:47,12/27/25 17:37,
AT2025adpi,field7898-2025-10-28,field7898,J,C1,/mnt/photometry/AT2025adpi/field7898-2025-10-28/J/stack/coadd.Open-J.03139051-03139087.C1.fits,/mnt/photometry/AT2025adpi/field7898-2025-10-28/J/stack/GRB_J_C1_Data_VIKING_03139087.ecsv,2025-11-14,8.58,Circle,60.0,1,10,48.0,356.05256,-30.72115,0.0,0.0,0.0,1.3,91.98,1.195,0.49503,-1.0,,,16.734,16.145,0.015,0.025,99.0,,16.759,,,,99.0,,,99.0,,0.017,2025-10-28,-17,sci,192762,AT,2025adpi,356.0524197,-30.72109012,,,,135,GW-MMADS,135.0,GW-MMADS,19.7673,23.0,i,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,C202511142344126m304316,2025TNSTR4589....1H,,11/15/25 22:00,11/15/25 22:00,
AT2025admv,field8172-2025-10-28,field8172,J,C1,/mnt/photometry/AT2025admv/field8172-2025-10-28/J/stack/coadd.Open-J.03138971-03139007.C1.fits,/mnt/photometry/AT2025admv/field8172-2025-10-28/J/stack/GRB_J_C1_Data_VIKING_03139007.ecsv,2025-11-14,8.58,Circle,60.0,1,10,48.0,354.5429,-29.65495,1.0,2.0,2.0,1.39,66.7,1.364,0.39084,0.09098,,,17.275,16.592,0.021,0.028,0.774,,17.326,,,,0.04,,,0.092,,0.026,2025-10-28,-17,sci,192697,AT,2025admv,354.5427974,-29.65488813,,,,135,GW-MMADS,135.0,GW-MMADS,21.1888,21.0,g,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,A202511142338103m293918,2025TNSTR4589....1H,,11/15/25 21:59,11/15/25 21:59,
AT2025adip,field7895-2025-10-28,field7895,J,C4,/mnt/photometry/AT2025adip/field7895-2025-10-28/J/stack/coadd.Open-J.03139291-03139327.C4.fits,/mnt/photometry/AT2025adip/field7895-2025-10-28/J/stack/GRB_J_C4_Data_VIKING_03139327.ecsv,2025-11-14,8.58,Circle,60.0,1,10,48.0,352.84227,-31.51678,1.0,1.0,2.0,0.96,27.74,1.226,0.43462,0.18023,,,17.974,17.801,0.045,0.037,0.246,,17.991,,,,0.056,,,0.073,,0.068,2025-10-28,-17,sci,192587,AT,2025adip,352.842397,-31.516719,,,,59,GOTO,59.0,GOTO,19.59,120.0,L,"K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, A. Kumar, D. O'Neill, M. Pursiainen, on behalf of GOTO collaboration",11/14/25 12:18,GOTO25jzh,2025TNSTR4578....1A,,11/14/25 12:18,11/14/25 12:18,
