full_name,field,truncated_field,band,chip,coadd_path,ecsv_path,discoverydate,EXPTIMEE,DITHTYP,DITHRAD,DITH_REP,NINT,ROTOFF,RA,DEC,psfS_CM,aperS_CM,autoS_CM,Radius,SNR,Elongation,Distance,Separation,Survey_Crsmtch,Survey Crsmtch,aperMag,autoMag,aperMag_Err,psfMag_Err,autoME_CM,apMag,psfMag,Mag_Err_Crsmtch,Mag_Err,apMag2,psfME_CM,Mag,apMag_Err,aperME_CM,apMag2_Err,autoMag_Err,field_date,days_since_discovery,role,ref_coadd_path,ref_field,ref_chip,ref_autoMag,ref_autoMag_Err,ref_psfMag,ref_psfMag_Err,ref_aperMag,ref_aperMag_Err,ref_days_since_discovery,ref_autoS_CM,ref_psfS_CM,ref_aperS_CM,objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified,status,edge,px_from_edge,mag_dif,sci_ref_dif,average_sci_mag,b
SN2024ugv,field19254-2024-08-18,field19254,J,C3,/mnt/photometry/SN2024ugv/field19254-2024-08-18/J/stack/coadd.Open-J.01573871-01573907.C3.fits,/mnt/photometry/SN2024ugv/field19254-2024-08-18/J/stack/GRB_J_C3_Data_2MASS_01573907.ecsv,2024-08-28,8.58,Circle,60.0,1,10,9223372036854775807:9223372036854775807:000NaN,68.73409,11.95861,1.0,1.0,2.0,2.21,47.48,1.938,2.51843,1.40699,,,17.59,16.473,0.039,0.034,0.968,,17.369,,,,0.073,,,-0.148,,0.039,2024-08-18,-10,sci,['/mnt/photometry/SN2024ugv/field19254-2026-01-11/J/stack/coadd.Open-J.03362577-03362613.C3.fits'],['field19254-2026-01-11'],['C3'],[16.512],[0.045],[17.62],[0.05],[17.679],[0.048],[501],[2.0],[1.0],[1.0],161073,SN,2024ugv,68.73470296,11.95896406,0.0328,13.0,SN IIn,48,ZTF,48.0,ZTF,20.1223,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",9/2/24 11:16,"ZTF24abeywka, ATLAS24ocj, GOTO24ggs, PS24lvz",2024TNSTR3249....1S,"2024TNSCR4007....1P, 2026TNSCR1362....1U",9/2/24 11:16,3/31/26 0:05,,False,1922.3256100906424,0.8960000000000008,-0.06400000000000006,17.0315,-23.499799391580446
AT2025admr,field13522-2025-11-13,field13522,J,C2,/mnt/photometry/AT2025admr/field13522-2025-11-13/J/stack/coadd.Open-J.03186975-03187074.C2.fits,/mnt/photometry/AT2025admr/field13522-2025-11-13/J/stack/GRB_J_C2_Data_VHS_03187074.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,344.43835,-9.01316,0.0,0.0,0.0,1.47,22.8,1.043,0.16073,-1.0,,,18.705,18.128,0.059,0.047,99.0,,18.731,,,,99.0,,,99.0,,0.068,2025-11-13,-1,sci,['/mnt/photometry/AT2025admr/field13522-2025-11-17/J/stack/coadd.Open-J.03201745-03201844.C2.fits'],['field13522-2025-11-17'],['C2'],[18.422],[0.122],[18.54],[0.19],[18.981],[0.162],[3],[0.0],[0.0],[0.0],192693,AT,2025admr,344.4383893,-9.013183706,,,,135,GW-MMADS,135.0,GW-MMADS,20.275,23.0,i,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,"A202511142257452m090047, PS25mxy",2025TNSTR4589....1H,,11/15/25 21:59,2/3/26 17:36,,False,1513.9099696388685,0.6030000000000015,-0.2850000000000019,18.4165,-57.4350293608511
AT2025ably,field12662-2025-10-16,field12662,J,C3,/mnt/photometry/AT2025ably/field12662-2025-10-16/J/stack/coadd.Open-J.03096092-03096128.C3.fits,/mnt/photometry/AT2025ably/field12662-2025-10-16/J/stack/GRB_J_C3_Data_VHS_03096128.ecsv,2025-10-02,8.58,Circle,60.0,1,10,48.0,68.43529,-12.03617,2.0,2.0,2.0,1.99,81.69,1.633,2.7642,0.24522,,,17.012,16.019,0.018,0.027,1.157,,17.011,,,,0.164,,,0.163,,0.02,2025-10-16,14,sci,['/mnt/photometry/AT2025ably/field12662-2026-01-11/J/stack/coadd.Open-J.03362537-03362573.C3.fits'],['field12662-2026-01-11'],['C3'],[16.011],[0.027],[17.008],[0.033],[17.023],[0.022],[101],[2.0],[2.0],[2.0],191279,AT,2025ably,68.43421903,-12.03578337,,,,59,GOTO,59.0,GOTO,19.97,120.0,L,"D. O'Neill, K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, A. Kumar, M. Pursiainen, on behalf of GOTO collaboration",10/24/25 9:21,"GOTO25iza, PS25lzq",2025TNSTR4270....1O,,10/24/25 9:21,12/31/25 15:49,,False,1739.2623429103014,0.9920000000000009,-0.0015000000000000568,16.5155,-36.25253530237022
SN2025vjb,field11089-2025-08-06,field11089,J,C1,/mnt/photometry/SN2025vjb/field11089-2025-08-06/J/stack/coadd.Open-J.02806274-02806310.C1.fits,/mnt/photometry/SN2025vjb/field11089-2025-08-06/J/stack/GRB_J_C1_Data_2MASS_02806310.ecsv,2025-08-23,8.58,Circle,60.0,1,10,48.0,16.64582,-16.91182,3.0,3.0,3.0,2.79,30.85,3.456,1.79239,-1.0,,,18.818,17.224,0.054,0.076,99.0,,19.104,,,,99.0,,,99.0,,0.042,2025-08-06,-17,sci,['/mnt/photometry/SN2025vjb/field11089-2025-12-13/J/stack/coadd.Open-J.03287650-03287686.C1.fits'],['field11089-2025-12-13'],['C1'],[17.19],[0.056],[18.752],[0.077],[18.731],[0.077],[112],[0.0],[0.0],[0.0],186998,SN,2025vjb,16.64598452,-16.91129655,0.09,3.0,SN Ia,48,ZTF,48.0,ZTF,20.005,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",8/25/25 10:45,"ZTF25ablfisj, ATLAS25kqv, GOTO25gqi, PS25hnk",2025TNSTR3371....1S,2025TNSCR3714....1S,8/25/25 10:45,12/31/25 15:28,,False,1088.7549915268964,1.879999999999999,0.06049999999999933,18.021,-79.42596523491297
AT2025uvl,field10496-2025-09-02,field10496,J,C2,/mnt/photometry/AT2025uvl/field10496-2025-09-02/J/stack/coadd.Open-J.02937221-02937257.C2.fits,/mnt/photometry/AT2025uvl/field10496-2025-09-02/J/stack/GRB_J_C2_Data_VHS_02937257.ecsv,2025-08-17,8.58,Circle,60.0,1,10,48.0,23.36762,-19.50141,1.0,1.0,2.0,1.95,17.42,1.613,1.28996,0.72705,,,18.845,17.944,0.1,0.199,1.085,,19.167,,,,-0.137,,,0.185,,0.098,2025-09-02,16,sci,['/mnt/photometry/AT2025uvl/field10496-2025-12-13/J/stack/coadd.Open-J.03287430-03287466.C2.fits'],['field10496-2025-12-13'],['C2'],[17.935],[0.107],[19.735],[0.16],[19.109],[0.108],[118],[2.0],[2.0],[1.0],186644,AT,2025uvl,23.36726845,-19.50160505,,,,74,ALeRCE,48.0,ZTF,20.6442,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, S. Jurado, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, F. Andrades, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",8/21/25 17:50,"ZTF25abjjwiz, GOTO25gfg, PS25ljp",2025TNSTR3295....1M,,8/21/25 17:50,12/31/25 0:47,,False,650.1202569591646,1.2230000000000025,-0.12750000000000128,18.3945,-78.02442414776213
AT2025aayv,field8786-2025-11-03,field8786,J,C1,/mnt/photometry/AT2025aayv/field8786-2025-11-03/J/stack/coadd.Open-J.03159535-03159571.C1.fits,/mnt/photometry/AT2025aayv/field8786-2025-11-03/J/stack/GRB_J_C1_Data_VHS_03159571.ecsv,2025-10-19,8.58,Circle,60.0,1,10,48.0,64.40618,-26.37644,2.0,1.0,2.0,3.58,50.2,1.81,1.1764,0.23174,,,18.347,15.939,0.048,0.082,2.463,,18.792,,,,-0.39,,,0.054,,0.033,2025-11-03,15,sci,['/mnt/photometry/AT2025aayv/field8786-2026-01-11/J/stack/coadd.Open-J.03362257-03362293.C1.fits'],['field8786-2026-01-11'],['C1'],[17.25],[0.084],[18.293],[0.081],[18.286],[0.072],[84],[0.0],[0.0],[0.0],190937,AT,2025aayv,64.40675323,-26.37652642,,,,18,ATLAS,18.0,ATLAS,18.89,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill, P. J. Broda (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",10/20/25 7:17,"ATLAS25myh, GOTO25iut, , ZTF25acjvlfp, PS25kvm",2025TNSTR4197....1T,,10/20/25 7:17,12/30/25 21:29,,False,921.9159471475332,2.8530000000000015,-0.625,17.143,-44.55394318856081
AT2025admd,field13211-2025-11-13,field13211,J,C4,/mnt/photometry/AT2025admd/field13211-2025-11-13/J/stack/coadd.Open-J.03186205-03186304.C4.fits,/mnt/photometry/AT2025admd/field13211-2025-11-13/J/stack/GRB_J_C4_Data_VHS_03186304.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,345.86299,-11.03368,1.0,2.0,2.0,1.95,33.18,1.957,1.71002,1.9279,,,18.249,17.105,0.06,0.139,0.526,,17.745,,,,-0.113,,,-0.617,,0.044,2025-11-13,-1,sci,['/mnt/photometry/AT2025admd/field13211-2025-11-17/J/stack/coadd.Open-J.03200975-03201074.C4.fits'],['field13211-2025-11-17'],['C4'],[nan],[nan],[nan],[nan],[nan],[nan],[3],[nan],[nan],[nan],192679,AT,2025admd,345.863208,-11.034136,,,,135,GW-MMADS,135.0,GW-MMADS,20.5654,23.0,i,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,"A202511142303272m110203, GOTO25kem, , PS25myg",2025TNSTR4589....1H,,11/15/25 21:59,12/27/25 17:37,,True,262.4799414327638,0.6400000000000006,,17.677,-59.764603595367056
AT2025abwa,field10817-2025-10-05,field10817,J,C3,/mnt/photometry/AT2025abwa/field10817-2025-10-05/J/stack/coadd.Open-J.03054128-03054164.C3.fits,/mnt/photometry/AT2025abwa/field10817-2025-10-05/J/stack/GRB_J_C3_Data_VHS_03054164.ecsv,2025-10-24,8.58,Circle,60.0,1,10,48.0,50.15026,-18.60165,0.0,0.0,0.0,1.22,8.58,1.983,1.90748,-1.0,,,19.35,19.033,0.141,0.125,99.0,,19.434,,,,99.0,,,99.0,,0.135,2025-10-05,-19,sci,['/mnt/photometry/AT2025abwa/field10817-2026-01-10/J/stack/coadd.Open-J.03361761-03361797.C3.fits'],['field10817-2026-01-10'],['C3'],[nan],[nan],[nan],[nan],[nan],[nan],[78],[nan],[nan],[nan],191568,AT,2025abwa,50.15077011,-18.6018707,,,,18,ATLAS,18.0,ATLAS,20.222,73.0,wide,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill, P. J. Broda (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",10/29/25 10:00,"ATLAS25nlf, PS25ika",2025TNSTR4342....1T,,10/29/25 10:00,11/16/25 21:05,,False,513.2600085609229,0.4009999999999998,,19.1915,-55.03600804421777
AT2025adqz,field5346-2025-11-13,field5346,J,C3,/mnt/photometry/AT2025adqz/field5346-2025-11-13/J/stack/coadd.Open-J.03187745-03187844.C3.fits,/mnt/photometry/AT2025adqz/field5346-2025-11-13/J/stack/GRB_J_C3_Data_VHS_03187844.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,7.73148,-41.67168,3.0,3.0,0.0,1.1,11.77,1.298,0.24635,-1.0,,,19.628,19.482,0.107,0.09,99.0,,19.633,,,,99.0,,,99.0,,0.144,2025-11-13,-1,sci,['/mnt/photometry/AT2025adqz/field5346-2025-11-17/J/stack/coadd.Open-J.03202614-03202713.C3.fits'],['field5346-2025-11-17'],['C3'],[nan],[nan],[nan],[nan],[nan],[nan],[3],[nan],[nan],[nan],192805,AT,2025adqz,7.731546238,-41.67173373,,,,135,GW-MMADS,135.0,GW-MMADS,22.8744,21.0,g,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,T202511140030556m414018,2025TNSTR4589....1H,,11/15/25 22:01,11/15/25 22:01,,False,529.124051095825,0.1509999999999998,,19.555,-74.65149344701253
AT2025adqr,field7362-2025-11-13,field7362,J,C3,/mnt/photometry/AT2025adqr/field7362-2025-11-13/J/stack/coadd.Open-J.03186315-03186414.C3.fits,/mnt/photometry/AT2025adqr/field7362-2025-11-13/J/stack/GRB_J_C3_Data_VIKING_03186414.ecsv,2025-11-14,28.6,Random,20.0,1,10,48.0,2.9151,-32.63156,2.0,1.0,2.0,1.38,57.83,1.4,0.9626,0.11457,,,17.466,17.019,0.025,0.018,0.511,,17.247,,,,0.282,,,0.063,,0.027,2025-11-13,-1,sci,['/mnt/photometry/AT2025adqr/field7362-2025-11-17/J/stack/coadd.Open-J.03201085-03201184.C3.fits'],['field7362-2025-11-17'],['C3'],[nan],[nan],[nan],[nan],[nan],[nan],[3],[nan],[nan],[nan],192797,AT,2025adqr,2.914781272,-32.63158725,,,,135,GW-MMADS,135.0,GW-MMADS,21.7638,23.0,i,"Xander J. Hall (CMU), Tomás Cabrera (CMU), Lei Hu (CMU), Antonella Palmese (CMU), Igor Andreoni (UMD), Brendan O’Connor (CMU), Robert Stein (Caltech), Michael Coughlin (UMN), Theo Jegou Du Laz (Caltech), Keerthi Kunnumkai (CMU), on behalf of GW-MMADS",11/15/25 21:59,T202511140011395m323754,2025TNSTR4589....1H,,11/15/25 22:01,11/15/25 22:01,,False,405.53734549860815,0.22800000000000153,,17.2425,-79.46384206103022
